scenario_id,requirement_id,expected_status,rationale,annotator,reviewed
ai-act-benchmark-clean_001,EUAI-R9-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R10-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R12-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R13-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R14-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R14-02,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R15-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_001,EUAI-R50-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=True; missing=none,benchmark_author,YES
ai-act-benchmark-clean_002,EUAI-R9-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=False; missing=none,benchmark_author,YES
ai-act-benchmark-clean_002,EUAI-R10-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=False; missing=none,benchmark_author,YES
ai-act-benchmark-clean_002,EUAI-R12-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=False; missing=none,benchmark_author,YES
ai-act-benchmark-clean_002,EUAI-R13-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=False; missing=none,benchmark_author,YES
ai-act-benchmark-clean_002,EUAI-R14-01,PASS,Spec-defined benchmark case: type=clean; high_risk=True; uses_training_data=True; direct_ai_interaction=False; missing=none,benchmark_author,YES
